code,id,user_type_id/id,name,reconcile,chart_template_id/id,group_id/id
940000,gd_acc_940000,account.data_account_type_non_current_liabilities,Revalorizacijske rezerve iz prevrednotenja zemljišč,0,gd_chart,
941000,gd_acc_941000,account.data_account_type_non_current_liabilities,Revalorizacijske rezerve iz prevrednotenja zgradb,0,gd_chart,
949000,gd_acc_949000,account.data_account_type_non_current_liabilities,Popravek vrednosti revalorizacijskih rezerv za odložene obveznosti za davek,0,gd_chart,
950000,gd_acc_950000,account.data_account_type_non_current_liabilities,Rezerve iz prevrednotenja zemljišč,0,gd_chart,
951000,gd_acc_951000,account.data_account_type_non_current_liabilities,Rezerve iz prevrednotenja zgradb,0,gd_chart,
952000,gd_acc_952000,account.data_account_type_non_current_liabilities,Rezerve iz prevrednotenja opreme,0,gd_chart,
953000,gd_acc_953000,account.data_account_type_non_current_liabilities,Rezerve iz prevrednotenja neopredmetenih sredstev,0,gd_chart,
954000,gd_acc_954000,account.data_account_type_non_current_liabilities,Rezerve iz prevrednotenja dolgoročnih finančnih naložb,0,gd_chart,
955000,gd_acc_955000,account.data_account_type_non_current_liabilities,Rezerve iz prevrednotenja kratkoročnih finančnih naložb,0,gd_chart,
956000,gd_acc_956000,account.data_account_type_non_current_liabilities,"Zneski dokazanega dobička ali dokazane izgube iz spremembe poštene vrednosti finančnih sredstev, razpoložljivih za prodajo, ki ni del razmerja pri varovanju vrednosti ",0,gd_chart,
957000,gd_acc_957000,account.data_account_type_non_current_liabilities,Aktuarski dobički ali izgube od določenih zaslužkov,0,gd_chart,
959000,gd_acc_959000,account.data_account_type_non_current_liabilities,"Popravek vrednosti rezerv, nastalih zaradi vrednotenja po pošteni vrednosti za odložene obveznosti za davek",0,gd_chart,
960000,gd_acc_960000,account.data_account_type_non_current_liabilities,Rezervacije za stroške reorganizacije podjetja,0,gd_chart,
961000,gd_acc_961000,account.data_account_type_non_current_liabilities,Rezervacije za pokrivanje prihodnjih stroškov oziroma odhodkov zaradi razgradnje in ponovne vzpostavitve prvotnega stanja ter druge podobne rezervacije,0,gd_chart,
962000,gd_acc_962000,account.data_account_type_non_current_liabilities,Rezervacije za kočljive pogodbe,0,gd_chart,
963000,gd_acc_963000,account.data_account_type_non_current_liabilities,"Rezervacije za pokojnine, jubilejne nagrade in odpravnine ob upokojitvi",0,gd_chart,
964000,gd_acc_964000,account.data_account_type_non_current_liabilities,Rezervacije za dana jamstva,0,gd_chart,
965000,gd_acc_965000,account.data_account_type_non_current_liabilities,Druge rezervacije iz naslova dolgoročno vnaprej vračunanih stroškov,0,gd_chart,
966000,gd_acc_966000,account.data_account_type_non_current_liabilities,Prejete državne podpore,0,gd_chart,
967000,gd_acc_967000,account.data_account_type_non_current_liabilities,Prejete donacije,0,gd_chart,
968000,gd_acc_968000,account.data_account_type_non_current_liabilities,Druge dolgoročne pasivne časovne razmejitve,0,gd_chart,
970000,gd_acc_970000,account.data_account_type_non_current_liabilities,"Dolgoročna posojila, dobljena pri družbah v skupini",0,gd_chart,
971000,gd_acc_971000,account.data_account_type_non_current_liabilities,"Dolgoročna posojila, dobljena pri pridruženih družbah",0,gd_chart,
